,titre,1,2,3,4,5
0,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,- Personne n’aime personne.,"Je regardai s’éloigner ce pauvre moineau de Gaby, sautillant entre les flaques de boue. Savait-elle seulement où elle allait passer la nuit ? Moi, en revanche, j’avais un projet, un projet qui me mena tout droit rue des Prouvaires.","Gaby avait raison  : cette rue n’était pas longue . En passant devant le volet baissé d’une boucherie chevaline , je pensai soudain à ce conte où le chasseur doit rapporter à la méchante reine le foie et les poumons de Blanche-Neige comme preuves de sa mort . Où vivait l’enfant dont on voulait arracher le cœur ? Dans cette maison bourgeoise ?",Derrière cette fenêtre éclairée ?,"J’avais décidé de monter la garde jusqu’au matin. Comme la neige s’était remise à tomber à gros flocons, je m’abritai sous un porche en face de la boucherie. Les longues stations solitaires dans la nuit et le froid, ce n’est pas le meilleur aspect du métier, comme disait l’Éventreur du Châtelet. Je songeai à la tiédeur du Lapin Volant, au tintement amical des verres, au bon souper de la mère Gargoton, et je me décollai du mur. Bah, une nuit pareille, même les assassins restent chez eux."
1,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,"- Oh, oui, pitié, pitié ! fit Toto en joignant les mains.",Je sais par cœur mes déclinaisons.,Il se mit à réciter à toute vitesse  :,"- Civis, civis, civem, civis, civi, cive…","- C’est bon, c’est bon, grommela son précepteur, qui était brave garçon. Mais il est sous votre responsabilité pendant la récréation, monsieur de Lange."
2,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,Il a l’œillet à la boutonnière.,"Une fois qu’il eut compris ce que je lui disais, le général resta un moment méditatif.","- Tant qu’il n’a rien fait , dit-il enfin , nous ne pouvons pas l’arrêter .",- Mais Trimbaldière est un ami du proviseur. Il faut peut-être retirer les princes du collège ?,- Louis-Philippe refusera.
3,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,Il m’attrapa brutalement par la veste pour me forcer à me relever.,"- Alors, le trésor était dans le coffre, hein ? Tu l’as cru ?","Mais t’es aussi sinve que ce Bourguignon qui croit nous espionner ! Allez , debout , sors de là !","Je ne tenais pas sur mes jambes, elles se dérobaient sous moi. Mais, à la force des bras, il me souleva hors du coffre et me jeta à terre.",- Il est armé ! prévint Picpoc.
4,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,"- À la fenêtre, répondit le groom.",- Diable ! s’écria le médecin en l’apercevant.,"- Comme vous dites , soupira l’abbé .","Le médecin s’approcha du cadavre, conclut à une mort par strangulation, mais trouva fort étrange cette pendaison.","- Voyez, les pieds touchent encore terre. Et puis comment le duc a-t-il pu se passer lui-même la cravate autour du cou et l’attacher à l’espagnolette ? Il ne pouvait pas lever le bras droit par suite d’une fracture à la clavicule. Je le sais, c’est moi qui l’ai soigné après son accident de chasse. Et sa main gauche était toute déformée par l’arthrite, il ne pouvait pas s’en servir."
5,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,"- Vous, Janvier, qu’est-ce que vous pensez de Saint-Just ?","- Ceci, Malo : si vous êtes un grinche ou même seulement un pégriot, évitez-le. Je ne crois pas qu’il soit de votre côté.","Puis , voyant mon abattement , il alla chercher un verre et une tasse qui constituaient toute sa vaisselle et nous versa du vin .","- À la santé de La Bouillie ! s’écria-t-il, le verre levé.",- Vous voulez dire : à la santé de Lucie ?
6,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,"Entrebâillant le carton, il en sortit deux chapeaux fleuris absolument pas froissés, quatre tourterelles vivantes qui s’envolèrent jusqu’à leur perchoir, une cage avec des canaris, puis trois énormes casseroles en cuivre, la première remplie de haricots fumants, la deuxième d’eau bouillante, et la troisième était en feu ! Chaque nouvelle apparition était saluée de rires étonnés.","- Et vous allez voir, me souffla mon voisin, très excité, il va sortir le singe !","Mais ce fut une tête d’enfant qui jaillit du carton , suivie du corps d’un petit garçon que le magicien prit à son cou .",Tous deux saluèrent l’assistance.,"- Maintenant, m’assura mon voisin, vous allez voir le singe qui flotte dans les airs. C’est incroyable !"
7,MurailLAssassinEstAuCollegeMedium.txt,- Surprise ! dis-je en repoussant la porte.,- Que… qu’est-ce que vous foutez ici ? hurle Alban.,- La même chose que vous . Je protège Axel .,"Puisque l’assassin court toujours. J’ai eu une bonne qu’un assassin acculé devient une bête fauve. Soudain, Alban plonge la main dans sa poche gauche.","- Attention, Nils ! crie Axel."
8,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,Elle fit le geste de donner un coup de couteau et ajouta froidement :,- Tu le butes.,"Pour aimer La Bouillie , il fallait connaître son histoire .","Elle avait passé les premières années de sa vie au Lapin Volant, un cabaret de la rue Cloche-Perce à Paris. Sa mère l’avait vendue à la patronne que tout le monde appelait « l’ogresse », sans doute à cause de son amour exagéré des petits enfants.","Dès qu’elle fut en âge de tenir debout, La Bouillie servit les * T’es bête. T’as pas ton couteau ? clients du Lapin Volant, tous des voleurs et des filles de rue, d’ailleurs des braves gens, mais qui avaient la mauvaise habitude de finir leurs disputes au couteau. Un jour, la police vint mettre un peu d’ordre au Lapin Volant, l’ogresse se retrouva à la prison de Saint-Lazare, et La Bouillie fut conduite à l’hospice de l’abbé Pigrièche. La Bouillie n’avait pas une bonne opinion de lui :"
9,MurailMaloDeLangeIntÈgraleMÈdiumPoche.txt,Le juge changea de tactique et m’attaqua sur mon déguisement : n’était-ce pas la preuve d’une préméditation ?,"- C’est la faute à madame l’intendante, répondis-je. Elle voulait pas d’un valet, mais elle voulait bien d’une chambrière.","- Et ce pistolet , ce couteau , pour quoi faire ?",- On m’a dit à la ferme : méfie-toi des brigands à Paris.,Et vous voyez qu’ils avaient raison. Y avait un brigand cette nuit chez m’sieur le duc.
