,titre,1,2,3,4,5
0,le_petrole_utile_mais_polluant.txt,"Les conducteurs s’arrêtent dans la station de Frédéric et Nicole pour mettre du carburant dans leur voiture, leur camion, ou même parfois dans leur tracteur. Le carburant est un liquide qui permet aux moteurs des véhicules de fonctionner. Il en existe de différentes sortes, comme le gazole ou l’essence.","Deux à trois fois par mois, la station d’Augignac reçoit une visite importante. «Un grand camion-citerne me livre du carburant», raconte Frédéric. Ce matin, il en a d’ailleurs reçu plus de 33 000 litres, soit l’équivalent de 165 baignoires pleines !","Dans la plupart des stations-service , les gens se servent eux-mêmes et paient avec leur carte bleue sur une machine automatique . Mais Frédéric préfère conserver son organisation « à l’ancienne » . C’est lui ou Nicole , qui mettent le carburant dans les véhicules de leurs clients . « On parle beaucoup avec eux . Même quand on est de mauvaise humeur , on s’oblige à ne pas le montrer , pour rester sympathiques » , confie Frédéric .","Son métier est parfois difficile : les gens préfèrent souvent aller acheter du carburant au supermarché, car il y est moins cher que dans sa station. Ces derniers temps, Frédéric est d’ailleurs très inquiet car le gouvernement a décidé d’augmenter les taxes sur le prix du pétrole : «Notre carburant pourrait devenir trop cher pour nos clients, ils iront encore plus souvent se fournir dans les grandes surfaces et moins chez nous», dit-il. Mais le gérant reconnaît que son travail a quand même quelques bons côtés : «A force de venir et de discuter, certains clients finissent par devenir nos amis !»","Augignac, la ville où Frédéric habite et travaille"
1,Les_secrets_du_29_fevrier_.txt,"Tous les calendriers du monde n’ont pas été créés en même temps, donc il y a des décalages entre eux. On a fait démarrer le calendrier grégorien (le nôtre) quand Jésus est né (même si en fait on ne sait pas précisément en quelle année c’était), mais chaque calendrier utilise un événement différent comme point de départ. En plus, tous ne fonctionnent pas de la même façon : la plupart des pays utilisent le calendrier grégorien, qui est un calendrier solaire (il se fonde sur la position de la Terre par rapport au Soleil), mais il existe aussi des calendriers lunaires (dont les dates sont fixées en fonction de la Lune) et des calendriers luni-solaires, c’est-à-dire définis à la fois selon le Soleil et la Lune.",Voici trois autres exemples de calendriers différents du nôtre.,"Il est utilisé par les musulmans du monde entier , car il sert à fixer la date des fêtes religieuses . Dans la plupart des pays , les croyants utilisent aussi le calendrier grégorien pour la vie quotidienne . Mais dans certains autres , comme l’Arabie Saoudite , le calendrier musulman est le calendrier officiel .","En 622, le prophète (c’est-à-dire le porte-parole de Dieu) Mahomet est parti de La Mecque pour aller à Médine, deux villes d’Arabie Saoudite. C’est un événement tellement important dans l’islam, la religion des musulmans, qu’il a été choisi comme point de départ de leur calendrier. Résultat, en ce moment, si on suit le calendrier musulman, nous sommes en 1437, et non en 2016.","Les mois s’appellent par exemple mouharram, safar ou ramadan."
2,les_metiers_de_Noel.txt,"On prend autant de plaisir à lire cet album qu’à l’écouter grâce au CD qui l’accompagne. Le comédien Vincent Dedienne, virtuose et malicieux, raconte l’histoire, sur la bande originale lumineuse d’un grand orchestre de jazz, The Amazing Keystone Big Band.","La Ballade d’Ilyas d’Alex Cousseau et David Sala (Casterman, 15,95 €). A partir de 7 ans.","Un âne rouge , un baba cool roux aux airs de John Lennon ( un musicien anglais très célèbre qui a fondé le groupe des Beatles ) nommé Ilyas et un enfant cracheur d’abeilles … Les personnages croisés au cours de cette balade étonnent autant qu’ils désarçonnent . Ilyas , le poète à petites lunettes , ne sait pas lire . Comment déchiffrer la mystérieuse lettre qu’il vient de recevoir ? Il faut partir . Accompagné par ses deux acolytes , sa guitare sous le bras , Ilyas arpente les routes de son monde , découvre de nouveaux chemins , pour enfin trouver celui qui pourra l’aider .","En découvrant cette histoire, on plonge la tête la première dans un rêve. Par leurs mots comme par leurs traits, l’auteur et l’illustrateur nous transportent dans un univers unique et onirique.","Roméo et Juliette de Pierre Coran et Charlotte Gastaut (Père Castor, 14 €). A partir de 7 ans."
3,Les_coulisses_de_l_ecole.txt,"Avant d’arriver devant une salle de classe, les enseignants, eux aussi, sont sur les bancs de l’école. Pour devenir professeur, en primaire ou au collège, ils doivent d’abord obtenir une licence, le diplôme qu’on passe après trois années d’études à l’université. En général, les professeurs de collège ont choisi une licence qui correspond à la matière qu’ils enseignent. Beaucoup de professeurs de français, par exemple, ont étudié la littérature à l’université.","Après ces trois ans d’études, ils passent deux ans dans une école de professeurs, à l’université. Ils y apprennent à proposer des activités accessibles à des écoliers ou à des collégiens dans différentes matières, ou à gérer une classe. Par exemple, ils font des exercices de respiration : ils s’entraînent à parler fort sans pour autant crier. C’est une habitude à prendre, d’ailleurs les jeunes professeurs n’ont parfois plus de voix à la fin de la journée !","A l’école , les futurs profs découvrent aussi comment la mémoire fonctionne . On leur déconseille par exemple de donner trop d’informations en même temps , sinon les élèves n’arrivent pas à les retenir . Dans leur emploi du temps , il y a aussi des cours sur les valeurs de l’école , comme la laïcité . Parce que c’est un principe important en France  : l’Etat n’interdit aucune religion et n’oblige personne à en pratiquer une . L’école publique , qui est gérée par l’Etat , est donc laïque .","Durant leurs études, les futurs enseignants vont aussi dans des classes pour voir comment se passent les cours. Au début, ils s’installent au fond de la salle pour observer un professeur face à ses élèves. Puis c’est à leur tour de faire cours aux élèves, qui ne savent pas qu’ils ne sont pas vraiment encore des professeurs. Cette fois-ci, un tuteur les observe : c’est un enseignant qui les évalue et les conseille. Sans rien imposer, il peut leur donner des astuces, comme passer dans les rangs, regarder les élèves dans les yeux ou parler fort pour se faire respecter.","Pour être diplômé, et donc devenir professeur, il ne suffit pas d’entrer dans cette école. Il faut réussir un concours à la fin de la première année, puis un examen à la fin de la deuxième."
4,les_fake_news.txt,"Pour savoir si une image est vraie, il faut faire attention aux détails. Si un youtubeur publie, au mois de février, la vidéo d’une femme en short et en tongs en train de voler une voiture à Paris et s’il écrit «Je viens d’assister à un vol ! Hallucinant !!», il y a de quoi s’interroger. Porte-t-on vraiment un short et des tongs à Paris en février ? Non. La vidéo n’est sûrement pas la sienne et elle est sûrement plus ancienne.","On peut aussi regarder les arbres : s’ils n’ont plus de feuilles, on est en hiver ; s’ils sont en fleurs, on est au printemps…","Pour vérifier le lieu , on peut regarder sur l’image s’il y a des plaques d’immatriculation de voitures et des panneaux dans les rues . Sont-ils français ? Peut-être que cette femme a volé une voiture dans un autre pays .","Quand c’est possible, il faut aller voir l’information à l’endroit où elle a été diffusée en premier. Si le P’tit Libé parle d’un article de 1jour1actu, il faut aller regarder 1jour1actu. On voit bien quand on joue au téléphone arabe qu’à force d’être répétée, une information peut être déformée.","Si un internaute affirme qu’un attentat est en train d’avoir lieu et qu’il est le seul à le dire, c’est louche. Une information est vérifiée quand plusieurs personnes fiables la confirment."
5,les_youtubeurs.txt,"Plus de 3 millions de personnes gagnent de l’argent grâce à YouTube dans l’Union européenne. Aux Etats-Unis, un enfant de 6 ans a même gagné plus de 9 millions d’euros grâce à ses vidéos cette année. Comment ? Grâce à deux choses surtout : les publicités et les partenariats avec des entreprises.","Quand on regarde des vidéos sur YouTube, on voit parfois des publicités. Des entreprises payent YouTube pour qu’il les diffuse.","Chaque fois qu’une pub apparaît , le youtubeur touche un peu d’argent , mais on ne sait pas combien  : ça dépend des mois et du nombre de personnes qui regardent la vidéo . Si elle dure plus de 10 minutes , le youtubeur a le droit de placer une pub à l’intérieur de sa vidéo , et pas seulement avant le lancement . C’est pour ça que certains font exprès de faire des vidéos de 10 minutes … et 1 seconde !","«Un vidéaste qui commence à être suivi par de nombreuses personnes sur sa chaîne va être tout de suite contacté par des marques», signale le journaliste Vincent Manilève, qui anime le podcast NoTube, consacré à YouTube. Les entreprises aiment bien les youtubeurs parce qu’elles savent qu’ils sont écoutés par des milliers de gens. Alors elles leur envoient gratuitement des produits (du maquillage, par exemple) pour qu’ils les testent et en parlent dans leurs vidéos. Parfois, ces entreprises proposent un contrat aux auteurs de vidéos : une youtubeuse dit du bien d’un rouge à lèvres et en échange elle reçoit de l’argent.","Quand Norman fait une parodie de la série de Netflix Stranger Things, c’est parce qu’il a été payé pour ça. Comment le sait-on ? Parce que dans la description de sa vidéo, tout en bas (donc discrètement), il a écrit : «Merci à Netflix de nous avoir aidés à réaliser cette vidéo.»"
6,Les_Jeux_olympiques_.txt,"Les villes ont généralement envie d’organiser les Jeux olympiques car ça leur permet d’être au centre de l’attention du monde entier pendant deux semaines et ça fait venir beaucoup de touristes. Mais ça demande du temps, du travail et de l’argent. Rio a commencé à travailler sur sa candidature il y a dix ans !","Toutes les villes qui veulent accueillir les JO doivent préparer un dossier répondant à plusieurs critères. Ensuite, c’est le Comité international olympique qui choisit la «ville hôte». Pour 2016, Rio était en concurrence avec d’autres villes comme Madrid (Espagne) ou Tokyo (Japon). Le choix du gagnant se fait sept ans avant l’événement, pour lui laisser le temps de faire tous les travaux nécessaires à l’accueil d’une compétition aussi importante.","Les JO attirent énormément de gens , tant des sportifs que des visiteurs . Souvent , les stades , piscines et autres lieux sportifs sont un peu vieux ou pas assez nombreux , donc il faut soit les rénover , soit en bâtir de nouveau . Il faut aussi construire le village olympique , prévoir des agents de sécurité , nourrir les athlètes , etc . Bref , ça demande une bonne organisation .","Rio, par exemple, a dû construire de nouvelles lignes de métro et de bus pour pouvoir transporter tous les gens qui viennent exprès pour les JO. La grande ville brésilienne a aussi détruit des favelas (des quartiers pauvres) pour construire des routes et des parkings. Des Brésiliens critiquent certains aménagements, en disant qu’ils sont faits sans penser aux plus pauvres.","Pour être choisies par le CIO, les villes doivent notamment avoir bien pensé à l’organisation des Jeux, comment ils seront financés, avoir le soutien des habitants du pays et définir la façon dont seront utilisés le village olympique et les bâtiments sportifs après l’événement."
7,la_SNCF.txt,"Son train (appelé Transilien) doit quitter la gare à 18h21 et rouler jusqu’à Château-Thierry, une ville située à une centaine de kilomètres de Paris. Il a 13 minutes pour préparer sa journée avant de rejoindre son engin.","«Tout petit, je voulais conduire des trains. C’est un rêve de beaucoup d’enfants», se souvient Jean-Philippe, qui jouait avec un train électrique quand il était plus jeune. Il faut dire qu’il connaissait déjà bien cet univers : son père, son grand-père et son arrière-grand-père, notamment, étaient cheminots.","« La ligne , on doit la connaître par cœur . On doit connaître les gares , les vitesses , les trains » , explique Jean-Philippe . Son Transilien roule la plupart du temps à 140 kilomètres par heure , mais parfois la vitesse est moins élevée , par exemple quand il y a des travaux sur la ligne .","A cette vitesse et avec un véhicule aussi grand, il faut beaucoup de temps pour s’arrêter. Jean-Philippe doit commencer à freiner 1 kilomètre (la longueur de 10 terrains de foot) avant chaque gare pour réussir à s’arrêter devant les voyageurs qui attendent. Pour savoir quand commencer à freiner, il a ses repères, comme une maison originale sur le bord de la route ou un tunnel. Si quelqu’un est trop proche du bord du quai, il déclenche un gros klaxon.","Qu’est-ce qui lui plaît dans ce métier ? «Etre autonome, répond Jean-Philippe. Et je ne fais jamais deux fois la même chose.» A chaque trajet, il transporte au moins 1 000 personnes, parfois 2 000."
8,La_COP21.txt,"Chez moi, on a des solutions pour le climat ! de Philippe Godard, illustré par Guillaume Kashima (Albin Michel, 2015, 15 €). Dès 8 ans.","A nous l’écologie de Gilles Halais, illustré par Jacques Azam (Milan, 2015, 8,90 €). Dès 8 ans.","Sur quelle planète bleue ai-je atterri ? de Anna Alter avec Hervé Le Treut , illustré par Lucie Maillot ( Editions Le Pommier , 2015 , 13 ,90 € ) . Dès 7 ans .","Protégeons la planète ! de Jean-Michel Billioud, illustré par Didier Balicevic (Nathan, 2015, 11,95 €). Dès 6 ans.","L’eldorad’eau de Sandrine Dumas Roy, illustré par Jérôme Peyrat (Les Editions du Ricochet, 2013, 14,70 €). Dès 5 ans."
9,le_mal-logement.txt,,"La Fondation Abbé-Pierre, qui s’occupe des personnes mal logées, estime qu’il y a environ 600 000 logements insalubres en France. Environ 1 million de personnes vivent dans ce type d’habitat.","L’Etat paye déjà des travaux pour améliorer des logements . Mais pour les associations , ce n’est pas suffisant . Christophe Robert , le délégué général de la Fondation Abbé-Pierre , souhaite que le gouvernement en fasse plus . Ça demande un important travail de recherche parce que les taudis ne sont pas visibles de l’extérieur , ils sont souvent bien cachés .","Une loi vient aussi d’être votée pour lutter contre les «marchands de sommeil». Depuis le début de l’année, les maires peuvent mettre en place des permis de louer : si un propriétaire veut louer son appartement, il doit obtenir l’autorisation auprès de la mairie, qui vérifie s’il peut être habité. S’ils ne possèdent pas d’autorisation, les propriétaires risquent d’être condamnés à d’importantes amendes.","Enfin, les associations souhaitent aussi que les logements vides ne le restent pas. Dans le centre de Paris, un logement sur quatre est inhabité ! Au début du mois de janvier, des militants de l’association Droit au logement et des sans-abri ont occupé pendant quelques heures les locaux vides d’une grande entreprise française. Ils demandaient de pouvoir utiliser ces bureaux pour abriter des personnes sans domicile. Ils ont finalement été chassés. En France, on ne peut pas occuper un logement vide, même si son propriétaire ne l’utilise pas depuis très longtemps."
